Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
TV18 Broadcast,29.95,28.75,29.00,-1.86,20.46
Cyient,646.95,621.25,637.00,-0.90,20.37
TML-D,131.15,127.10,128.40,-0.19,20.36
Abbott India,15267.80,14930.05,15162.00,0.88,20.28
Century,474.20,454.50,458.55,-1.98,20.20
City Union Bank,162.00,158.15,159.90,0.19,20.18
Kajaria Ceramic,946.55,897.00,929.20,3.39,20.00
Dilip Buildcon,591.00,564.00,577.40,3.11,19.91
BSE Limited,575.75,552.35,569.00,2.91,19.68
Hind Zinc,283.00,275.10,276.10,-0.70,19.50
Vaibhav Global,3802.05,3602.50,3664.95,-3.13,19.13
Godrej Ind,550.00,531.00,542.80,2.27,19.04
Firstsource Sol,110.50,107.30,109.65,2.43,18.37
Amber Enterpris,3225.00,3105.00,3210.00,4.38,18.04
EPL,228.45,224.15,226.60,1.84,17.60
Coromandel Int,773.05,755.00,769.05,2.15,17.39
Hind Copper,127.20,123.00,123.50,0.20,17.37
Bank of India,70.30,69.10,69.80,0.14,17.37
Honeywell Autom,46450.00,45493.65,46185.00,1.63,16.79
ABB India,1481.55,1431.05,1439.90,-0.94,16.63
JK Lakshmi Cem,422.00,412.10,418.40,2.07,16.60
KPIT Tech,183.70,175.25,177.10,0.37,16.56
Relaxo Footwear,909.00,875.15,895.05,1.65,16.42
Suzlon Energy,5.65,5.25,5.25,-4.55,16.28
INOX Leisure,298.45,285.00,289.75,-3.83,16.26
Avanti Feeds,436.00,415.50,418.25,-1.60,16.20
Future Retail,47.50,44.85,44.85,-4.98,16.09
Affle India,5299.00,5210.65,5236.75,1.02,16.02
MCX India,1579.15,1527.50,1529.15,-2.47,16.01
Kansai Nerolac,589.00,569.75,588.35,3.52,15.19
Union Bank,34.50,33.60,33.90,0.00,15.14
JB Chemicals,1268.95,1216.85,1226.55,-0.18,15.03
Supreme Ind,2025.00,1992.55,2009.95,-0.21,15.03
Bajaj Holdings,3367.25,3165.90,3237.75,-1.45,14.88
Shipping Corp,115.95,113.35,113.80,-0.57,14.77
IDFC,48.90,47.25,47.35,-0.42,14.53
Birla Corp,923.15,889.00,896.15,-1.39,14.53
Radico Khaitan,577.00,559.25,562.55,0.37,14.46
Godrej Agrovet,524.00,488.80,511.70,4.04,14.42
3M India,29999.00,29020.55,29350.00,2.14,14.42
Syngene Intl,542.95,527.05,533.90,-0.09,14.12
Equitas Holding,89.80,85.40,85.50,-1.67,13.74
Oracle Fin Serv,3210.00,3110.60,3165.00,1.31,13.57
SpiceJet,70.10,68.00,68.30,-1.37,13.56
Ashoka Buildcon,102.80,95.50,101.60,6.72,13.42
Edelweiss,70.50,66.60,66.60,-4.99,13.00
Nippon,337.45,330.60,335.00,1.35,12.74
Natco Pharma,821.85,805.45,814.90,1.40,12.66
Quess Corp,699.80,679.00,693.75,0.87,12.57
Persistent,1896.00,1822.65,1878.55,3.12,12.39
Indian Hotels,110.00,105.60,106.55,-1.71,12.24
Indian Bank,120.10,114.70,116.20,-1.73,12.10
Can Fin Homes,593.90,580.00,589.40,2.34,11.85
SKF India,2262.45,2156.85,2235.00,2.72,11.35
SUMITOMO,281.00,272.70,280.00,2.38,11.28
Finolex Cables,391.75,380.75,386.00,0.30,10.98
Thyrocare Techn,889.00,870.70,875.75,1.05,10.98
Welspun India,85.45,82.15,83.60,0.00,10.88
Prestige Estate,312.00,294.50,308.00,-0.03,10.70
IRB Infra,105.15,102.50,102.80,0.05,10.41
Bajaj Electric,985.00,961.05,982.90,3.31,10.36
Hindustan Aeron,1005.00,992.20,1001.00,1.42,10.32
Bajaj Consumer ,266.85,260.20,260.75,-1.40,10.29
Dalmia Bharat,1574.00,1537.15,1559.45,0.52,10.23
Guj State Petro,269.55,260.40,261.90,-1.47,10.08
Orient Electric,319.80,309.25,310.00,-0.53,10.00
CESC,612.95,598.10,600.65,-0.55,9.97
GSFC,83.90,81.50,82.60,0.36,9.96
Linde India,1786.00,1715.00,1723.30,0.15,9.89
United Brewerie,1257.05,1226.95,1230.30,-0.49,9.88
KEI Industries,530.20,516.65,519.15,0.11,9.72
Ujjivan Financi,216.35,210.00,210.80,-1.31,9.68
Trident,14.35,13.85,14.05,2.55,9.67
CreditAccess Gr,687.00,640.05,667.85,-0.17,9.63
Minda Ind,568.70,546.00,550.10,1.47,9.57
Lakshmi Machine,6939.95,6690.00,6893.00,3.08,9.52
IIFL Finance,284.00,262.30,264.95,-4.04,9.44
UCO Bank,11.20,10.80,10.85,-0.91,9.24
Oil India,121.45,118.70,119.95,1.52,9.17
General Insuran,205.90,197.00,197.05,-2.86,9.03
NFL,57.40,54.05,56.75,3.28,8.96
Ceat,1531.35,1498.20,1520.20,0.37,8.85
Greaves Cotton,131.00,124.45,128.25,1.66,8.77
Jindal (Hisar),126.15,119.85,121.70,1.50,8.75
Chambal Fert,230.00,223.50,226.00,-0.48,8.73
Pfizer,4424.90,4385.00,4420.50,1.16,8.64
GMM Pfaudler,4230.00,4110.00,4156.95,0.13,8.59
Rajesh Exports,483.00,473.00,473.55,-0.43,8.54
Jubilant Pharmo,692.00,668.90,684.95,3.09,8.42
VIP Industries,356.95,341.60,342.55,-2.21,8.17
Blue Star,925.00,899.00,910.20,2.34,8.15
Heidelberg Cem,236.60,229.55,230.05,-2.19,8.14
AstraZeneca,3119.85,3046.00,3046.00,-0.67,8.06
Bombay Dyeing,72.80,71.35,71.60,0.70,8.06
DCB Bank,104.50,102.75,104.45,2.15,7.92
MMTC Ltd,44.95,43.35,43.40,1.76,7.91
JK Paper,153.60,146.30,147.20,-3.44,7.87
Sequent Scienti,243.00,233.65,238.20,2.50,7.77
South Ind Bk,8.50,8.20,8.20,-2.38,7.72
Aegis Logistics,312.70,287.25,289.50,-3.37,7.68
Carborundum,490.00,475.00,479.15,0.89,7.65
Ajanta Pharma,1810.00,1754.95,1778.80,-0.52,7.61
Vakrangee,53.40,52.20,53.40,4.91,7.24
AIA Engineering,1969.10,1920.05,1947.85,1.54,7.18
Guj Mineral,57.80,54.55,56.10,3.13,7.18
Phillips Carbon,194.85,185.60,187.75,-1.88,7.12
Sundaram Fin,2588.00,2481.05,2504.55,0.25,7.05
Endurance Techn,1480.00,1428.05,1450.15,0.53,6.98
V-Mart Retail,2810.00,2748.20,2773.30,0.91,6.94
KSB Pumps,907.90,890.55,897.90,1.48,6.92
Atul,7093.25,6986.70,7050.00,0.43,6.88
Bayer CropScien,5042.00,4965.00,5030.00,0.73,6.82
JK Tyre & Ind,110.80,98.90,107.70,-1.96,6.73
Fine Organics,2316.00,2261.05,2265.00,-0.06,6.72
Himadri Special,42.25,41.60,41.75,0.72,6.66
TCNS Clothing C,519.95,499.05,503.10,-0.63,6.61
Karnataka Bank,61.60,60.30,60.70,0.41,6.14
Central Bank,16.55,16.00,16.10,-1.23,6.12
NHPC,23.55,23.30,23.40,0.65,6.05
Bank of Mah,21.10,20.15,20.40,-2.39,5.91
Poly Medicure,824.50,800.25,815.00,0.26,5.88
Sun Pharma Adv,152.50,144.60,144.80,-2.33,5.87
Take Solutions,48.00,44.35,45.20,-3.21,5.84
Schaeffler Ind,5468.00,5231.00,5383.90,0.53,5.81
Uflex,385.75,368.00,376.40,-0.28,5.78
Bharat Dynamics,345.00,334.55,337.00,-1.35,5.61
Welspun Corp,136.30,131.40,132.25,-1.93,5.51
Procter&Gamble,6248.00,6186.45,6226.65,0.65,5.51
Cera Sanitary,3940.00,3854.05,3918.30,1.66,5.50
Rallis India,267.90,260.85,261.50,-0.85,5.45
AAVAS Financier,2437.35,2298.15,2360.85,2.17,5.44
Jindal Saw,73.10,71.50,72.15,0.91,5.42
Brigade Ent,271.00,252.10,263.25,-2.55,5.33
Sudarshan Chem,527.80,513.55,517.35,-0.02,5.31
Karur Vysya,56.70,54.60,55.05,0.18,5.30
PNB Housing Fin,382.95,372.25,378.00,1.54,5.28
Mishra Dhatu Ni,180.35,177.00,177.35,0.00,5.26
Sunteck Realty,298.10,282.75,284.00,-2.97,5.23
J. K. Cement,2905.20,2813.00,2900.00,3.34,5.16
Future Consumer,6.70,6.00,6.10,-6.15,5.16
IOB,16.10,15.70,15.80,-1.56,5.15
EIH,96.55,90.45,92.20,-3.66,5.12
Sundram,753.45,727.00,752.00,2.46,5.07
SIS,405.00,393.50,396.75,1.02,5.06
Varroc Engineer,389.15,375.30,376.60,-1.35,5.02
Kaveri Seed,495.80,486.00,486.55,-0.41,4.95
Castrol,124.20,122.95,123.90,0.73,4.88
Jai Corp,86.90,84.30,85.25,0.59,4.87
Hathway Cable,25.50,25.00,25.15,-1.95,4.86
Vinati Organics,1445.00,1404.85,1407.60,-0.63,4.81
Tata Inv Corp,1058.45,1028.80,1040.65,0.53,4.81
KNR Construct,209.75,204.00,207.20,0.68,4.79
HFCL,25.95,25.45,25.50,-0.20,4.79
Jindal Stainles,67.90,66.10,67.00,1.36,4.71
Godfrey Phillip,896.00,881.45,889.40,0.23,4.70
Dishman Carboge,111.80,107.50,107.70,-0.78,4.65
KRBL,185.90,181.45,181.80,-1.12,4.64
Ujjivan Small,30.80,30.05,30.20,-0.98,4.64
Nava Bharat Ven,70.50,69.90,70.00,0.79,4.60
Narayana Hruda,401.10,385.20,397.00,2.98,4.52
HUDCO,44.80,44.00,44.20,0.00,4.46
TeamLease Ser.,3649.00,3559.25,3647.90,3.52,4.39
New India Assur,156.00,151.60,152.15,-0.43,4.37
ICRA,3648.00,3416.65,3439.90,-4.08,4.31
TCI Express,944.00,900.00,903.70,-0.31,4.30
Minda Corp,99.00,91.60,98.45,3.41,4.29
Advanced Enzyme,362.00,348.00,350.95,2.57,4.29
Capri Global,375.00,352.15,371.50,5.18,4.29
Thermax,1340.00,1305.20,1315.90,-0.66,4.21
Cochin Shipyard,359.00,353.05,357.70,1.07,4.21
Garware Technic,2547.70,2400.00,2479.95,2.99,4.19
Sterlite Techno,200.00,193.80,195.70,1.01,4.16
PTC India,80.00,79.55,79.90,0.82,4.14
P and G,12925.00,12610.20,12822.10,0.66,4.11
Zensar Tech,284.95,271.00,274.00,-1.62,4.08
GE Shipping,319.25,309.00,316.00,2.90,3.93
Shoppers Stop,214.65,203.85,210.75,-0.73,3.88
Caplin Labs,421.00,412.55,414.50,-0.12,3.84
RITES,244.90,240.00,240.95,-0.66,3.73
MRPL,39.45,38.80,39.30,1.55,3.68
CSB Bank,242.60,233.55,236.50,-0.78,3.68
Balmer Lawrie,130.00,126.45,126.90,-0.78,3.62
CARE Ratings,427.05,419.20,419.20,-0.50,3.61
Eris Life,620.00,596.00,598.10,-2.70,3.55
Dish TV,9.65,9.25,9.30,-1.06,3.55
Galaxy Surfacta,2460.00,2403.05,2419.10,1.60,3.51
Tasty Bite,14250.00,13802.65,14032.50,0.89,3.43
BASF,2040.05,1981.95,2019.30,0.56,3.38
CenturyPlyboard,312.15,303.05,310.00,2.45,3.28
AFL,146.60,139.50,140.40,-3.60,3.21
Gillette India,5698.00,5571.00,5697.95,1.06,3.16
Akzo Nobel,2269.70,2196.00,2267.05,1.93,3.15
Repco Home,335.00,327.10,330.00,0.06,3.06
IFCI,13.00,12.20,12.30,-3.15,3.01
Venkys,1561.00,1530.00,1544.00,0.32,2.98
Indoco Remedies,299.65,287.15,288.55,-2.81,2.93
Westlife Dev,459.80,447.15,456.00,-0.77,2.93
DCM Shriram,505.70,488.00,490.95,1.04,2.88
Chennai Petro,98.60,96.40,97.25,1.89,2.84
ITI,117.95,115.25,115.75,0.09,2.82
CCL Products,244.90,233.85,236.65,0.11,2.81
La Opala RG,219.20,214.10,216.85,1.40,2.80
GlaxoSmithKline,1429.65,1410.45,1427.35,1.55,2.79
EID Parry,331.95,321.45,322.15,-0.65,2.79
Swan Energy,135.95,132.40,134.95,1.24,2.77
Mahindra CIE,165.95,160.05,162.60,-1.31,2.76
Johnson Control,2620.00,2565.80,2598.25,1.69,2.76
FDC,283.25,276.00,280.00,1.74,2.70
Jamna Auto,69.20,67.25,67.25,-2.11,2.69
Lemon Tree Hote,37.90,35.25,35.90,-2.31,2.66
Motilal Oswal,643.30,631.30,634.95,0.49,2.63
NLC India,49.95,49.10,49.70,1.22,2.62
Jyothy Labs,141.70,136.80,136.90,-0.54,2.62
Bombay Burmah,1128.00,1114.15,1114.15,0.22,2.61
